 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,107900.300,3877.478,418380996.722,2029832383
2,A:ExptArea:c:1/4 - SMPD3_gRNA1_Emb5_9ss_10x.czi #1,65898.593,4806.092,316714703.095,1536584514
