 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:4/4 - Emb2_7ss_c.czi #1,75291.301,4073.784,306720521.927,1488096383
2,A:ExptArea:c:4/4 - Emb2_7ss_c.czi #1,51738.422,4297.108,222325597.133,1078642912
