 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,90081.569,2842.773,256081438.614,1242413974
2,A:ExptArea:c:1/3 - SMPD3_gRNA1_Emb4snai2_10x.czi #1,58247.154,3293.901,191860378.730,930836756
