 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - 20181119_SMPD3MO1;0mM_Pax7_Emb3_7ss_10x.czi #1,52654.599,3318.113,174713891.225,847648369.000
2,A:ExptArea:c:1/3 - 20181119_SMPD3MO1;0mM_Pax7_Emb3_7ss_10x.czi #1,42694.662,4290.821,183195144.148,888796329.000
