 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - 20181119_SMPD3MO1;0mM_Pax7_Emb6_8ss_10x.czi #1,64640.245,3178.334,205448296.287,996760544
2,A:ExptArea:c:1/3 - 20181119_SMPD3MO1;0mM_Pax7_Emb6_8ss_10x.czi #1,37909.473,3341.588,126677858.692,614594979
