 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,129671.718,3769.039,488737738.644,2371177698.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,61209.660,6066.965,371356872.637,1801688441.000
