 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,A:CntlArea:c:1/5 - 20190702_NC11m3Dyn1K44A_1;0ugul_Emb2_8ss_5x.czi #1,65854.062,425.472,189,1311,28019063.590,33984581.000
2,A:ExptArea:c:1/5 - 20190702_NC11m3Dyn1K44A_1;0ugul_Emb2_8ss_5x.czi #1,33540.020,531.541,212,1022,17827899.538,21623624.000
