 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:4/5 - 20190603_SMPD3MO0;8mMNC11m3bCat_Cad6bRFPGFPSnai2_Emb,84836.521,499.759,42397824.579,51424713
2,A:ExptArea:c:4/5 - 20190603_SMPD3MO0;8mMNC11m3bCat_Cad6bRFPGFPSnai2_Emb,25874.154,502.548,13002993.577,15771451
