 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/2 - 20180630_SMPD3MO0;8mM_Pax7_Emb7_7ss_10x.czi #1,46954.255,2930.005,137576201.174,667469780
2,A:ExptArea:c:1/2 - 20180630_SMPD3MO0;8mM_Pax7_Emb7_7ss_10x.czi #1,47286.308,2984.834,141141759.399,684768574
