 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - 20181119_SMPD3MO0;8mM_Pax7_Emb3_7ss_10x.czi #1,49505.353,4393.317,217492715.871,1055195695
2,A:ExptArea:c:1/3 - 20181119_SMPD3MO0;8mM_Pax7_Emb3_7ss_10x.czi #1,25691.123,4038.510,103753853.593,503376029
