 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:4/5 - 20190603_SMPD3MO0;8mMNC11m3bCat_Cad6bRFPGFPSnai2_Emb,47142.852,785.195,37016324.621,44897442
2,A:ExptArea:c:4/5 - 20190603_SMPD3MO0;8mMNC11m3bCat_Cad6bRFPGFPSnai2_Emb,31093.835,666.849,20734885.400,25149534
