 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,173182.400,2719.723,471008142.749,2285160149.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,121514.470,3432.102,417050098.494,2023375349.000
