 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/4 - 20180715_SMPD3MONC11m3bCat_Pax7GFP_Emb6_8ss_10x.czi ,72103.705,1805.373,130174098.662,631557466
2,A:ExptArea:c:1/4 - 20180715_SMPD3MONC11m3bCat_Pax7GFP_Emb6_8ss_10x.czi ,23918.319,3176.933,75986885.949,368660783
