 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,22.570,12.836,289.696,5622.000
2,TCFLefRFP:background,24.579,12.893,316.903,6150.000
3,TCFLefRFP:background,29.681,12.983,385.334,7478.000
4,TCFLefRFP:Cntl,4718.614,134.750,635835.345,12339369.000
5,TCFLefRFP:Expt,4270.157,107.957,460992.759,8946278.000
6,pCIG:background,22.570,19.281,435.162,8445.000
7,pCIG:background,24.579,18.761,461.133,8949.000
8,pCIG:background,29.681,18.788,557.647,10822.000
9,pCIG:Cntl,4718.614,267.201,1260816.416,24468094.000
10,pCIG:Expt,4270.157,261.242,1115543.952,21648857.000
