 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,38.801,11.202,434.647,8435.000
2,TCFLefRFP:background,70.955,11.317,802.976,15583.000
3,TCFLefRFP:background,53.487,11.295,604.126,11724.000
4,TCFLefRFP:Cntl,3000.534,44.933,134821.918,2616428.000
5,TCFLefRFP:Expt,2416.040,25.353,61252.831,1188706.000
6,pCIG:background,38.801,18.922,734.185,14248.000
7,pCIG:background,70.955,18.932,1343.361,26070.000
8,pCIG:background,53.487,18.655,997.808,19364.000
9,pCIG:Cntl,3000.534,135.531,406664.343,7891951.000
10,pCIG:Expt,2416.040,76.913,185825.271,3606227.000
