 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,26.125,10.661,278.514,5405.000
2,TCFLefRFP:background,49.004,10.707,524.668,10182.000
3,TCFLefRFP:background,30.763,10.660,327.931,6364.000
4,TCFLefRFP:Cntl,5962.421,52.477,312891.457,6072143.000
5,TCFLefRFP:Expt,5522.157,84.241,465194.125,9027812.000
6,pCIG:background,26.125,18.783,490.711,9523.000
7,pCIG:background,49.004,18.797,921.132,17876.000
8,pCIG:background,30.763,18.714,575.682,11172.000
9,pCIG:Cntl,5962.421,218.956,1305505.559,25335356.000
10,pCIG:Expt,5522.157,209.920,1159209.163,22496248.000
