 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,26.125,11.659,304.588,5911
2,TCFLefRFP:background,41.584,11.725,487.567,9462
3,TCFLefRFP:background,14.686,11.853,174.065,3378
4,TCFLefRFP:Cntl,5676.280,51.361,291537.684,5657740
5,TCFLefRFP:Expt,2867.280,82.678,237061.999,4600555
6,pCIG:background,26.125,18.882,493.287,9573
7,pCIG:background,41.584,19.016,790.764,15346
8,pCIG:background,14.686,19.011,279.184,5418
9,pCIG:Cntl,5676.280,182.498,1035909.799,20103433
10,pCIG:Expt,2867.280,165.565,474721.012,9212696
