 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,26.898,11.172,300.517,5832
2,TCFLefRFP:background,17.314,10.932,189.266,3673
3,TCFLefRFP:background,23.188,10.971,254.399,4937
4,TCFLefRFP:Cntl,4517.187,48.054,217070.550,4212590
5,TCFLefRFP:Expt,4348.223,61.731,268418.065,5209068
6,pCIG:background,26.898,18.822,506.272,9825
7,pCIG:background,17.314,18.824,325.921,6325
8,pCIG:background,23.188,18.516,429.340,8332
9,pCIG:Cntl,4517.187,222.474,1004957.050,19502747
10,pCIG:Expt,4348.223,258.370,1123450.717,21802300
