 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,30.763,12.876,396.103,7687.000
2,TCFLefRFP:background,26.434,12.596,332.980,6462.000
3,TCFLefRFP:background,81.004,12.779,1035.115,20088.000
4,TCFLefRFP:Cntl,3372.006,139.238,469511.379,9111595.000
5,TCFLefRFP:Expt,4240.167,115.148,488246.859,9475186.000
6,pCIG:background,30.763,18.754,576.919,11196.000
7,pCIG:background,26.434,18.893,499.419,9692.000
8,pCIG:background,81.004,18.808,1523.506,29566.000
9,pCIG:Cntl,3372.006,158.046,532930.592,10342343.000
10,pCIG:Expt,4240.167,151.826,643767.771,12493310.000
