 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,28.444,11.810,335.918,6519.000
2,TCFLefRFP:background,22.570,11.559,260.891,5063.000
3,TCFLefRFP:background,38.338,11.656,446.859,8672.000
4,TCFLefRFP:Cntl,2137.011,70.137,149882.454,2908701.000
5,TCFLefRFP:Expt,2084.142,35.590,74175.326,1439487.000
6,pCIG:background,28.444,18.687,531.522,10315.000
7,pCIG:background,22.570,18.758,423.362,8216.000
8,pCIG:background,38.338,18.181,697.033,13527.000
9,pCIG:Cntl,2137.011,118.210,252615.306,4902391.000
10,pCIG:Expt,2084.142,87.417,182189.849,3535676.000
