 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,37.565,11.634,437.017,8481.000
2,TCFLefRFP:background,58.898,11.654,686.366,13320.000
3,TCFLefRFP:background,49.004,11.831,579.753,11251.000
4,TCFLefRFP:Cntl,3223.448,45.409,146373.226,2840599.000
5,TCFLefRFP:Expt,2523.324,61.395,154918.383,3006431.000
6,pCIG:background,37.565,18.908,710.276,13784.000
7,pCIG:background,58.898,19.166,1128.846,21907.000
8,pCIG:background,49.004,18.753,918.968,17834.000
9,pCIG:Cntl,3223.448,140.786,453816.882,8807019.000
10,pCIG:Expt,2523.324,163.991,413802.604,8030480.000
