 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,31.381,12.729,399.453,7752.000
2,TCFLefRFP:background,17.005,13.115,223.018,4328.000
3,TCFLefRFP:background,84.714,12.906,1093.342,21218.000
4,TCFLefRFP:Cntl,4637.455,52.536,243635.192,4728118.000
5,TCFLefRFP:Expt,3754.145,60.851,228441.815,4433267.000
6,pCIG:background,31.381,18.310,574.600,11151.000
7,pCIG:background,17.005,18.952,322.262,6254.000
8,pCIG:background,84.714,18.920,1602.810,31105.000
9,pCIG:Cntl,4637.455,98.873,458516.945,8898231.000
10,pCIG:Expt,3754.145,102.620,385251.519,7476402.000
