 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,37.719,11.704,441.449,8567.000
2,TCFLefRFP:background,29.372,11.970,351.582,6823.000
3,TCFLefRFP:background,48.386,11.661,564.243,10950.000
4,TCFLefRFP:Cntl,3538.806,42.086,148935.042,2890315.000
5,TCFLefRFP:Expt,4291.799,96.662,414853.074,8050866.000
6,pCIG:background,37.719,19.122,721.251,13997.000
7,pCIG:background,29.372,19.079,560.378,10875.000
8,pCIG:background,48.386,19.539,945.403,18347.000
9,pCIG:Cntl,3538.806,121.441,429755.261,8340066.000
10,pCIG:Expt,4291.799,183.105,785850.692,15250649.000
