 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,19.942,12.762,254.502,4939
2,TCFLefRFP:background,9.121,12.836,117.074,2272
3,TCFLefRFP:background,59.825,12.381,740.678,14374
4,TCFLefRFP:Cntl,5080.347,127.839,649464.199,12603858
5,TCFLefRFP:Expt,4724.642,91.452,432076.282,8385109
6,pCIG:background,19.942,18.685,372.606,7231
7,pCIG:background,9.121,18.763,171.128,3321
8,pCIG:background,59.825,18.766,1122.662,21787
9,pCIG:Cntl,5080.347,202.037,1026417.127,19919213
10,pCIG:Expt,4724.642,148.280,700571.125,13595667
