 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,37.255,11.596,432.019,8384.000
2,TCFLefRFP:background,32.000,11.602,371.266,7205.000
3,TCFLefRFP:background,57.661,11.601,668.898,12981.000
4,TCFLefRFP:Cntl,3353.198,59.693,200161.979,3884453.000
5,TCFLefRFP:Expt,4198.068,54.920,230557.596,4474327.000
6,pCIG:background,37.255,19.214,715.841,13892.000
7,pCIG:background,32.000,19.098,611.134,11860.000
8,pCIG:background,57.661,19.235,1109.110,21524.000
9,pCIG:Cntl,3353.198,141.247,473628.700,9191498.000
10,pCIG:Expt,4198.068,183.534,770487.939,14952511.000
