 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,28.753,11.502,330.713,6418.000
2,TCFLefRFP:background,19.323,12.037,232.602,4514.000
3,TCFLefRFP:background,61.680,11.734,723.725,14045.000
4,TCFLefRFP:Cntl,3546.380,57.649,204445.636,3967584.000
5,TCFLefRFP:Expt,3041.654,88.190,268242.918,5205669.000
6,pCIG:background,28.753,19.210,552.339,10719.000
7,pCIG:background,19.323,18.536,358.178,6951.000
8,pCIG:background,61.680,18.529,1142.862,22179.000
9,pCIG:Cntl,3546.380,100.089,354955.404,6888459.000
10,pCIG:Expt,3041.654,155.194,472045.730,9160778.000
