 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,14.995,11.959,179.321,3480.000
2,TCFLefRFP:background,16.077,11.756,189.008,3668.000
3,TCFLefRFP:background,86.878,11.831,1027.849,19947.000
4,TCFLefRFP:Cntl,3215.564,84.650,272198.181,5282427.000
5,TCFLefRFP:Expt,3039.026,92.400,280805.327,5449462.000
6,pCIG:background,14.995,18.784,281.658,5466.000
7,pCIG:background,16.077,19.138,307.680,5971.000
8,pCIG:background,86.878,19.093,1658.719,32190.000
9,pCIG:Cntl,3215.564,99.856,321092.297,6231293.000
10,pCIG:Expt,3039.026,143.148,435029.821,8442427.000
