 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,25.352,11.734,297.477,5773.000
2,TCFLefRFP:background,27.516,11.861,326.385,6334.000
3,TCFLefRFP:background,35.400,11.396,403.421,7829.000
4,TCFLefRFP:Cntl,2435.827,39.092,95220.491,1847901.000
5,TCFLefRFP:Expt,3907.496,18.713,73120.115,1419009.000
6,pCIG:background,25.352,18.618,472.006,9160.000
7,pCIG:background,27.516,18.588,511.477,9926.000
8,pCIG:background,35.400,18.633,659.623,12801.000
9,pCIG:Cntl,2435.827,127.153,309723.660,6010667.000
10,pCIG:Expt,3907.496,61.848,241669.103,4689963.000
