 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,23.343,11.472,267.796,5197.000
2,TCFLefRFP:background,16.850,11.722,197.511,3833.000
3,TCFLefRFP:background,15.768,11.820,186.380,3617.000
4,TCFLefRFP:Cntl,4772.719,68.600,327406.867,6353837.000
5,TCFLefRFP:Expt,2399.654,114.925,275780.838,5351954.000
6,pCIG:background,23.343,18.823,439.388,8527.000
7,pCIG:background,16.850,19.364,326.282,6332.000
8,pCIG:background,15.768,18.990,299.435,5811.000
9,pCIG:Cntl,4772.719,121.582,580276.984,11261173.000
10,pCIG:Expt,2399.654,144.695,347218.015,6738303.000
