 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,68.791,12.757,877.590,17031.000
2,TCFLefRFP:background,22.261,12.627,281.091,5455.000
3,TCFLefRFP:background,24.425,12.749,311.390,6043.000
4,TCFLefRFP:Cntl,3492.893,44.730,156235.567,3031993.000
5,TCFLefRFP:Expt,3957.427,80.377,318085.528,6172942.000
6,pCIG:background,68.791,18.672,1284.463,24927.000
7,pCIG:background,22.261,18.597,413.984,8034.000
8,pCIG:background,24.425,18.835,460.051,8928.000
9,pCIG:Cntl,3492.893,68.430,239017.576,4638506.000
10,pCIG:Expt,3957.427,94.450,373779.927,7253778.000
