 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,13.294,11.422,151.856,2947.000
2,TCFLefRFP:background,28.289,11.944,337.876,6557.000
3,TCFLefRFP:background,26.589,11.516,306.185,5942.000
4,TCFLefRFP:Cntl,2782.721,66.354,184645.721,3583336.000
5,TCFLefRFP:Expt,2041.167,79.131,161519.763,3134541.000
6,pCIG:background,13.294,18.872,250.895,4869.000
7,pCIG:background,28.289,18.760,530.697,10299.000
8,pCIG:background,26.589,18.957,504.057,9782.000
9,pCIG:Cntl,2782.721,84.601,235420.027,4568690.000
10,pCIG:Expt,2041.167,97.909,199847.703,3878354.000
