 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,46.222,11.454,529.409,10274.000
2,TCFLefRFP:background,34.009,11.639,395.846,7682.000
3,TCFLefRFP:background,50.241,11.534,579.495,11246.000
4,TCFLefRFP:Cntl,3699.112,44.283,163808.011,3178948.000
5,TCFLefRFP:Expt,2709.601,67.083,181767.053,3527471.000
6,pCIG:background,46.222,18.573,858.473,16660.000
7,pCIG:background,34.009,18.894,642.567,12470.000
8,pCIG:background,50.241,18.999,954.523,18524.000
9,pCIG:Cntl,3699.112,128.811,476486.344,9246955.000
10,pCIG:Expt,2709.601,257.822,698594.679,13557311.000
