 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,23.188,11.882,275.526,5347.000
2,TCFLefRFP:background,34.782,11.430,397.546,7715.000
3,TCFLefRFP:background,52.714,11.479,605.105,11743.000
4,TCFLefRFP:Cntl,3171.558,49.019,155466.342,3017065.000
5,TCFLefRFP:Expt,1557.000,87.958,136950.788,2657742.000
6,pCIG:background,23.188,18.624,431.865,8381.000
7,pCIG:background,34.782,19.150,666.064,12926.000
8,pCIG:background,52.714,18.893,995.953,19328.000
9,pCIG:Cntl,3171.558,112.604,357129.052,6930642.000
10,pCIG:Expt,1557.000,169.490,263895.931,5121309.000
