 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,52.714,11.329,597.221,11590
2,TCFLefRFP:background,56.270,11.322,637.105,12364
3,TCFLefRFP:background,51.787,11.321,586.297,11378
4,TCFLefRFP:Cntl,3163.623,94.965,300432.672,5830361
5,TCFLefRFP:Expt,2837.651,28.884,81963.419,1590627
6,pCIG:background,52.714,18.793,990.645,19225
7,pCIG:background,56.270,19.257,1083.603,21029
8,pCIG:background,51.787,18.984,983.122,19079
9,pCIG:Cntl,3163.623,166.641,527188.510,10230909
10,pCIG:Expt,2837.651,139.019,394487.525,7655641
