 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,13.758,11.416,157.060,3048.000
2,TCFLefRFP:background,27.516,11.303,311.029,6036.000
3,TCFLefRFP:background,11.903,11.281,134.285,2606.000
4,TCFLefRFP:Cntl,3063.914,52.085,159584.025,3096975.000
5,TCFLefRFP:Expt,2831.725,35.486,100485.621,1950079.000
6,pCIG:background,13.758,18.951,260.737,5060.000
7,pCIG:background,27.516,18.904,520.185,10095.000
8,pCIG:background,11.903,18.571,221.059,4290.000
9,pCIG:Cntl,3063.914,161.220,493965.702,9586169.000
10,pCIG:Expt,2831.725,149.136,422311.845,8195615.000
