 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLefRFP:background,19.478,12.037,234.457,4550
2,TCFLefRFP:background,19.787,11.544,228.428,4433
3,TCFLefRFP:background,35.864,12.040,431.813,8380
4,TCFLefRFP:Cntl,5028.406,69.066,347291.702,6739733
5,TCFLefRFP:Expt,4476.840,71.109,318341.473,6177909
6,pCIG:background,19.478,18.852,367.196,7126
7,pCIG:background,19.787,18.503,366.114,7105
8,pCIG:background,35.864,18.716,671.217,13026
9,pCIG:Cntl,5028.406,139.050,699202.102,13569099
10,pCIG:Expt,4476.840,133.404,597226.933,11590113
