 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:3/5 - 20190108_pCAGdnBMPR1AFLAG_NC11m3eGFPFLAGSnai2_Emb6_8,56000.068,1401.983,78511139.339,95226886
2,A:ExptArea:c:3/5 - 20190108_pCAGdnBMPR1AFLAG_NC11m3eGFPFLAGSnai2_Emb6_8,38291.406,1020.866,39090391.605,47413097
