 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:2/3 - 20181125_pCAGdnBMPR1AFLAG_NC11m3eGFP_Emb4_8ss_5x.czi,61545.413,1255.430,77265962.902,93716600
2,A:ExptArea:c:2/3 - 20181125_pCAGdnBMPR1AFLAG_NC11m3eGFP_Emb4_8ss_5x.czi,46787.508,1175.040,54977206.904,66682362
