 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,16.747,17.431,8,33,291.912,5665.000
2,Cad6B:background,10.615,17.291,8,33,183.546,3562.000
3,Cad6B:background,12.212,17.506,8,31,213.794,4149.000
4,Cad6B:Cntl,2494.519,129.839,11,3417,323886.096,6285511.000
5,Cad6B:Expt,2723.359,123.339,9,2946,335897.455,6518610.000
6,Snai2:background,16.747,121.526,78,172,2035.189,39496.000
7,Snai2:background,10.615,137.990,99,215,1464.763,28426.000
8,Snai2:background,12.212,137.186,96,186,1675.362,32513.000
9,Snai2:Cntl,2494.519,610.395,97,2488,1522641.448,29549214.000
10,Snai2:Expt,2723.359,582.212,70,2954,1585573.146,30770501.000
