 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,23.188,17.747,8,35,411.511,7986.000
2,Cad6B:background,26.589,17.605,8,32,468.089,9084.000
3,Cad6B:background,24.889,17.702,8,35,440.573,8550.000
4,Cad6B:Cntl,2710.065,96.267,8,8658,260889.214,5062959.000
5,Cad6B:Expt,2536.309,80.118,8,3272,203204.457,3943497.000
6,Snai2:background,23.188,32.880,14,58,762.423,14796.000
7,Snai2:background,26.589,32.246,16,55,857.391,16639.000
8,Snai2:background,24.889,33.099,19,58,823.794,15987.000
9,Snai2:Cntl,2710.065,796.897,15,4431,2159641.916,41911194.000
10,Snai2:Expt,2536.309,365.970,13,3299,928211.767,18013386.000
