 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,34.009,19.577,16,23,665.806,12921
2,Cad6B:background,50.705,19.375,16,24,982.400,19065
3,Cad6B:background,45.139,19.381,16,23,874.859,16978
4,Cad6B:Cntl,1690.976,88.593,20,3044,149809.025,2907276
5,Cad6B:Expt,1451.417,114.740,23,1090,166536.317,3231895
6,Snai2:background,34.009,21.914,18,26,745.264,14463
7,Snai2:background,50.705,22.115,18,27,1121.323,21761
8,Snai2:background,45.139,21.616,17,25,975.753,18936
9,Snai2:Cntl,1690.976,631.915,25,3476,1068553.111,20736927
10,Snai2:Expt,1451.417,677.964,24,2876,984009.120,19096220
