 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,27.053,19.316,16,22,522.556,10141
2,Cad6B:background,74.047,19.432,16,23,1438.896,27924
3,Cad6B:background,33.855,19.656,16,23,665.446,12914
4,Cad6B:Cntl,2144.534,112.324,22,1433,240883.389,4674715
5,Cad6B:Expt,1941.458,109.307,20,1427,212215.333,4118367
6,Snai2:background,27.053,22.211,18,26,600.880,11661
7,Snai2:background,74.047,21.930,18,27,1623.885,31514
8,Snai2:background,33.855,21.798,18,27,737.947,14321
9,Snai2:Cntl,2144.534,540.911,30,3192,1160002.658,22511647
10,Snai2:Expt,1941.458,396.165,21,1989,769138.086,14926315
