 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,16.695,19.278,17,22,321.850,6246.000
2,Cad6B:background,19.942,18.775,16,23,374.410,7266.000
3,Cad6B:background,7.266,19.709,17,23,143.199,2779.000
4,Cad6B:Cntl,3781.868,185.239,21,1778,700548.967,13595237.000
5,Cad6B:Expt,2382.856,201.590,19,1825,480359.315,9322116.000
6,Snai2:background,16.695,30.241,25,34,504.881,9798.000
7,Snai2:background,19.942,30.023,26,35,598.715,11619.000
8,Snai2:background,7.266,30.184,25,33,219.307,4256.000
9,Snai2:Cntl,3781.868,357.521,30,3317,1352098.133,26239557.000
10,Snai2:Expt,2382.856,270.126,29,1593,643671.566,12491443.000
