 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,7.369,17.196,10,30,126.710,2459
2,Cad6B:background,2.267,17.455,9,26,39.574,768
3,Cad6B:background,6.699,17.423,7,26,116.713,2265
4,Cad6B:Cntl,1902.142,102.755,11,6292,195454.701,3793101
5,Cad6B:Expt,2618.188,88.196,10,2367,230913.249,4481229
6,Snai2:background,7.369,185.105,146,274,1363.973,26470
7,Snai2:background,2.267,186.091,151,238,421.919,8188
8,Snai2:background,6.699,186.269,141,270,1247.775,24215
9,Snai2:Cntl,1902.142,627.384,108,2422,1193373.715,23159264
10,Snai2:Expt,2618.188,597.039,133,2041,1563159.422,30335528
