 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,6.905,17.187,9,28,118.671,2303.000
2,Cad6B:background,12.676,17.195,8,33,217.968,4230.000
3,Cad6B:background,19.066,17.270,7,32,329.270,6390.000
4,Cad6B:Cntl,2514.667,84.644,9,8151,212852.335,4130729.000
5,Cad6B:Expt,1903.893,114.941,9,1953,218834.852,4246829.000
6,Snai2:background,6.905,26.858,15,43,185.453,3599.000
7,Snai2:background,12.676,26.447,14,48,335.248,6506.000
8,Snai2:background,19.066,26.505,13,45,505.345,9807.000
9,Snai2:Cntl,2514.667,560.212,13,3248,1408745.972,27338896.000
10,Snai2:Expt,1903.893,349.778,12,1924,665939.308,12923583.000
