 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,18.396,17.751,9,29,326.539,6337.000
2,Cad6B:background,11.027,17.154,8,27,189.163,3671.000
3,Cad6B:background,18.138,17.381,8,38,315.254,6118.000
4,Cad6B:Cntl,2351.423,107.854,9,4889,253610.537,4921705.000
5,Cad6B:Expt,2821.522,112.775,10,6235,318198.222,6175129.000
6,Snai2:background,18.396,23.927,10,44,440.161,8542.000
7,Snai2:background,11.027,23.224,13,45,256.099,4970.000
8,Snai2:background,18.138,23.585,13,49,427.794,8302.000
9,Snai2:Cntl,2351.423,761.684,11,3767,1791040.911,34757921.000
10,Snai2:Expt,2821.522,559.761,15,3031,1579376.526,30650246.000
