 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,73.738,17.497,8,38,1290.183,25038
2,Cad6B:background,51.787,17.461,6,33,904.231,17548
3,Cad6B:background,56.579,17.588,7,36,995.128,19312
4,Cad6B:Cntl,1970.830,84.054,14,1806,165656.563,3214822
5,Cad6B:Expt,2333.542,89.497,10,3369,208844.203,4052945
6,Snai2:background,73.738,76.568,46,138,5645.981,109569
7,Snai2:background,51.787,77.734,45,130,4025.600,78123
8,Snai2:background,56.579,78.487,47,122,4440.718,86179
9,Snai2:Cntl,1970.830,881.523,28,4061,1737332.235,33715621
10,Snai2:Expt,2333.542,504.269,34,3086,1176733.094,22836327
