 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,36.946,19.748,17,23,729.599,14159.000
2,Cad6B:background,23.343,19.342,15,23,451.497,8762.000
3,Cad6B:background,24.116,19.769,17,23,476.746,9252.000
4,Cad6B:Cntl,3094.832,70.608,17,1050,218521.143,4240741.000
5,Cad6B:Expt,2694.658,98.277,18,5961,264824.020,5139320.000
6,Snai2:background,36.946,18.855,16,23,696.621,13519.000
7,Snai2:background,23.343,18.486,14,21,431.504,8374.000
8,Snai2:background,24.116,18.735,16,22,451.806,8768.000
9,Snai2:Cntl,3094.832,430.297,17,3178,1331695.998,25843622.000
10,Snai2:Expt,2694.658,395.730,22,2020,1066357.255,20694313.000
