 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,12.522,17.082,8,34,213.897,4151
2,Cad6B:background,10.306,16.805,8,31,173.189,3361
3,Cad6B:background,6.080,17.475,10,35,106.253,2062
4,Cad6B:Cntl,3276.111,89.254,9,4024,292404.557,5674563
5,Cad6B:Expt,4679.297,83.476,9,7897,390607.907,7580351
6,Snai2:background,12.522,103.872,70,157,1300.643,25241
7,Snai2:background,10.306,103.245,66,147,1064.022,20649
8,Snai2:background,6.080,102.805,71,137,625.098,12131
9,Snai2:Cntl,3276.111,948.877,50,4661,3108625.950,60327698
10,Snai2:Expt,4679.297,675.322,60,5479,3160031.796,61325308
