 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,11.903,17.043,6,29,202.870,3937.000
2,Cad6B:background,9.739,17.899,10,30,174.323,3383.000
3,Cad6B:background,5.462,17.368,9,29,94.865,1841.000
4,Cad6B:Cntl,2440.877,101.439,8,5027,247599.215,4805046.000
5,Cad6B:Expt,2572.431,152.720,8,8558,392861.734,7624090.000
6,Snai2:background,11.903,34.476,13,56,410.377,7964.000
7,Snai2:background,9.739,34.688,18,57,337.824,6556.000
8,Snai2:background,5.462,34.396,20,65,187.875,3646.000
9,Snai2:Cntl,2440.877,648.360,16,3269,1582567.563,30712173.000
10,Snai2:Expt,2572.431,548.426,17,2767,1410786.623,27378498.000
