 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,9.327,17.790,9,27,165.923,3220.000
2,Cad6B:background,10.512,17.627,8,33,185.298,3596.000
3,Cad6B:background,5.874,17.281,9,30,101.512,1970.000
4,Cad6B:Cntl,3072.571,96.140,5,3636,295396.382,5732624.000
5,Cad6B:Expt,2824.820,93.626,11,4247,264475.581,5132558.000
6,Snai2:background,9.327,91.481,65,126,853.217,16558.000
7,Snai2:background,10.512,91.353,59,135,960.294,18636.000
8,Snai2:background,5.874,91.930,62,119,540.024,10480.000
9,Snai2:Cntl,3072.571,994.510,48,5448,3055703.761,59300661.000
10,Snai2:Expt,2824.820,570.592,39,3153,1611818.669,31279836.000
