 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,21.642,19.364,16,23,419.085,8133.000
2,Cad6B:background,29.835,19.955,17,23,595.366,11554.000
3,Cad6B:background,16.386,19.465,16,23,318.965,6190.000
4,Cad6B:Cntl,2452.626,112.165,24,2688,275099.676,5338735.000
5,Cad6B:Expt,2266.039,99.449,21,716,225354.970,4373362.000
6,Snai2:background,21.642,39.786,34,44,861.050,16710.000
7,Snai2:background,29.835,39.159,34,47,1168.317,22673.000
8,Snai2:background,16.386,40.261,34,45,659.726,12803.000
9,Snai2:Cntl,2452.626,526.609,45,3612,1291574.952,25065011.000
10,Snai2:Expt,2266.039,398.730,44,2604,903538.806,17534569.000
