 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,29.835,17.404,7,36,519.258,10077.000
2,Cad6B:background,35.400,17.367,7,34,614.792,11931.000
3,Cad6B:background,28.908,17.578,7,31,508.127,9861.000
4,Cad6B:Cntl,3294.094,82.274,8,7898,271019.507,5259553.000
5,Cad6B:Expt,3916.152,65.475,9,1733,256410.880,4976050.000
6,Snai2:background,29.835,149.192,94,220,4451.178,86382.000
7,Snai2:background,35.400,150.175,97,237,5316.247,103170.000
8,Snai2:background,28.908,147.738,89,204,4270.775,82881.000
9,Snai2:Cntl,3294.094,747.241,82,4335,2461483.494,47768897.000
10,Snai2:Expt,3916.152,502.984,66,2663,1969761.931,38226279.000
