 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,33.855,17.597,8,33,595.727,11561
2,Cad6B:background,22.261,17.588,8,34,391.517,7598
3,Cad6B:background,15.871,17.782,8,31,282.224,5477
4,Cad6B:Cntl,2309.581,74.922,7,1469,173039.432,3358098
5,Cad6B:Expt,2165.712,78.361,5,3223,169707.258,3293432
6,Snai2:background,33.855,56.766,27,98,1921.774,37295
7,Snai2:background,22.261,55.225,25,91,1229.327,23857
8,Snai2:background,15.871,55.844,29,98,886.299,17200
9,Snai2:Cntl,2309.581,635.562,30,4780,1467882.250,28486527
10,Snai2:Expt,2165.712,350.876,25,1970,759896.308,14746964
