 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,12.728,17.126,9,28,217.968,4230
2,Cad6B:background,7.626,16.554,7,29,126.246,2450
3,Cad6B:background,11.130,17.269,8,29,192.203,3730
4,Cad6B:Cntl,2768.138,99.860,9,8024,276427.011,5364494
5,Cad6B:Expt,3176.660,66.560,8,7815,211439.100,4103303
6,Snai2:background,12.728,174.858,128,246,2225.538,43190
7,Snai2:background,7.626,174.216,137,265,1328.624,25784
8,Snai2:background,11.130,176.102,133,258,1960.060,38038
9,Snai2:Cntl,2768.138,760.855,121,3270,2106151.773,40873135
10,Snai2:Expt,3176.660,626.244,112,2454,1989363.305,38606674
