 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,2.886,17.554,11,28,50.653,983.000
2,Cad6B:background,13.758,17.738,9,33,244.041,4736.000
3,Cad6B:background,9.172,17.360,9,31,159.225,3090.000
4,Cad6B:Cntl,2834.301,202.566,10,8309,574132.305,11141926.000
5,Cad6B:Expt,2613.654,170.494,8,3211,445613.568,8647821.000
6,Snai2:background,2.886,176.286,140,215,508.694,9872.000
7,Snai2:background,13.758,177.805,125,236,2446.288,47474.000
8,Snai2:background,9.172,176.230,134,259,1616.413,31369.000
9,Snai2:Cntl,2834.301,763.663,112,3627,2164449.674,42004496.000
10,Snai2:Expt,2613.654,692.293,116,2652,1809413.988,35114479.000
