 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,27.362,19.382,16,22,530.336,10292
2,Cad6B:background,30.917,19.652,16,23,607.578,11791
3,Cad6B:background,39.574,19.438,17,23,769.225,14928
4,Cad6B:Cntl,1912.190,77.145,21,2013,147515.005,2862757
5,Cad6B:Expt,2215.902,90.349,20,866,200204.748,3885283
6,Snai2:background,27.362,19.151,17,22,523.998,10169
7,Snai2:background,30.917,18.880,16,22,583.721,11328
8,Snai2:background,39.574,18.913,15,23,748.459,14525
9,Snai2:Cntl,1912.190,668.028,23,3363,1277395.305,24789833
10,Snai2:Expt,2215.902,456.579,21,2285,1011733.268,19634250
