 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,23.549,17.422,8,35,410.274,7962.000
2,Cad6B:background,6.029,17.393,9,30,104.862,2035.000
3,Cad6B:background,9.842,17.209,8,29,169.376,3287.000
4,Cad6B:Cntl,1844.017,114.717,9,1977,211539.427,4105250.000
5,Cad6B:Expt,2567.793,94.989,7,4288,243912.573,4733501.000
6,Snai2:background,23.549,112.081,70,187,2639.367,51221.000
7,Snai2:background,6.029,112.051,62,160,675.545,13110.000
8,Snai2:background,9.842,113.068,59,166,1112.820,21596.000
9,Snai2:Cntl,1844.017,726.427,58,3487,1339543.298,25995911.000
10,Snai2:Expt,2567.793,594.293,44,2420,1526021.905,29614817.000
