 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,175461.192,3652.259,0.000,640829632.549,3109072719.000,0.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,80479.847,5828.287,0.000,469059616.592,2275706964.000,0.000
3,A:Cntl1:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,151.083,3646.551,-90.470,550931.937,2672921.737,332.339
4,A:Exp1:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,65.133,6468.080,-90.546,421283.250,2043913.381,143.016
5,A:Expt2:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,89.248,5189.691,88.011,463170.761,2247136.375,196.246
6,A:Cntl2:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,144.900,3620.917,88.776,524669.276,2545504.841,318.781
7,A:Cntl3:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,125.731,3322.647,89.436,417758.970,2026814.850,276.499
8,A:Exp3:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,50.292,5483.156,-90.000,275760.535,1337890.000,110.322
9,A:Cntl4:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,126.555,3886.943,81.275,491912.939,2386582.985,278.345
10,A:Exp4:c:1/3 - SMPD3MO_0;8mM_Emb1_8ss_10x.czi #1,74.614,4761.380,-98.130,355265.557,1723619.500,163.724
