 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,153440.583,2582.480,0.000,396257297.045,1922496541.000,0.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,72836.448,3199.566,0.000,233045009.642,1130649778.000,0.000
3,A:Cntl1:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,141.396,2274.031,-98.059,321537.897,1559985.137,310.882
4,A:Expt1:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,75.851,2903.967,-98.924,220267.880,1068659.785,166.821
5,A:Cntl2:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,128.616,3108.217,-100.552,399767.669,1939527.593,282.627
6,A:Expt2:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,54.209,3102.490,-99.894,168181.372,815954.955,118.900
7,A:Cntl3:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,133.769,2360.404,-99.331,315749.583,1531902.339,293.996
8,A:Expt3:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,76.057,3215.504,-99.846,244560.977,1186521.069,167.266
9,A:Cntl4:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,127.380,2464.582,-96.987,313937.723,1523111.852,279.927
10,A:Expt4:c:1/3 - SMPD3MO_0;8mM_Emb7_9ss_10x.czi #1,46.994,3606.364,-96.843,169479.086,822250.996,102.883
