 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,279810.302,2706.119,0.000,757200113.629,3673660044.000,0.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,167292.402,3404.896,0.000,569613257.518,2763556723.000,0.000
3,A:Cntl1:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,169.840,2826.055,-106.519,479975.935,2328668.980,373.628
4,A:Expt1:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,125.937,3541.707,-106.564,446031.557,2163983.181,277.089
5,A:Cntl2:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,170.664,2960.112,-108.172,505184.699,2450972.751,375.576
6,A:Expt2:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,143.457,3483.561,-107.575,499740.292,2424558.460,315.740
7,A:Cntl3:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,160.977,2346.344,-111.433,377706.456,1832494.595,354.091
8,A:Expt3:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,124.700,2949.706,-110.056,367828.917,1784572.360,274.036
9,A:Cntl4:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,155.824,2843.853,66.084,443139.669,2149952.790,342.683
10,A:Expt4:c:1/3 - SMPD3MO_0;8mM_Emb3_9ss_10x.czi #1,86.363,3433.099,-112.335,296491.334,1438468.307,189.949
