 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,91024.330,3428.808,0.000,312104983.948,1514220070.000,0.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,61834.182,3541.871,0.000,219008717.807,1062550786.000,0.000
3,A:Cntl1:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,96.050,3173.644,-90.739,304828.718,1478918.270,211.128
4,A:Exp1:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,95.432,2782.082,-90.372,265498.865,1288104.103,209.752
5,A:Cntl2:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,85.538,3020.871,-90.415,258399.701,1253661.534,187.961
6,A:Exp2:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,58.949,3650.729,-124.695,215207.440,1044108.365,129.211
7,A:Cntl3:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,54.209,3697.630,54.310,200443.023,972476.777,119.064
8,A:Exp3:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,43.078,4323.135,-123.232,186233.063,903535.210,94.441
9,A:Cntl4:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,56.476,3710.806,87.483,209570.653,1016760.723,124.062
10,A:Exp4:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,52.766,3048.353,-91.348,160848.494,780378.495,115.802
