 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,109171.194,2614.794,0.000,285460200.644,1384949255.000,0.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,46395.269,3633.445,0.000,168574636.298,817862933.000,0.000
3,A:Cntl1:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,139.747,2676.822,-101.509,374076.851,1814885.069,307.179
4,A:Exp1:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,65.545,3385.144,-122.638,221878.865,1076475.699,143.947
5,A:Cntl2:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,127.998,2868.054,-107.470,367105.306,1781061.665,281.288
6,A:Exp2:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,63.278,3818.796,-121.350,241644.312,1172370.471,138.750
7,A:Cntl3:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,105.944,2453.440,-96.044,259926.325,1261068.162,232.834
8,A:Exp3:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,56.476,3451.883,-112.620,194947.808,945815.988,123.942
9,A:Cntl4:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,84.508,2466.878,-93.786,208469.852,1011420.036,185.637
10,A:Exp4:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,43.490,3472.250,-103.241,151009.796,732644.705,95.145
