 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,91293.517,3392.498,0.000,309713034.769,1502615201.000,0.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,56188.046,4228.542,0.000,237593534.452,1152717569.000,0.000
3,A:Cntl1:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,97.493,2859.682,-93.281,278798.596,1352629.566,214.185
4,A:Expt1:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,47.819,5013.951,-92.231,239761.672,1163236.586,104.954
5,A:Cntl2:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,102.234,3289.459,-92.429,336293.028,1631571.677,224.932
6,A:Expt2:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,58.949,3506.655,-91.809,206714.452,1002903.470,129.454
7,A:Cntl3:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,72.141,3446.657,-93.453,248643.890,1206329.881,158.279
8,A:Expt3:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,52.147,4329.954,-93.406,225795.620,1095478.369,114.610
9,A:Cntl4:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,50.292,3981.756,-92.827,200251.677,971548.432,110.456
10,A:Expt4:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,34.834,5038.478,-92.045,175508.363,851502.858,76.321
